Angle (rad) Run #1	Light Intensity (%) Run #1
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
-1.162	97.8
